latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-7.4675,-55.4953,345.9,0.57,0.5,2026-06-05,1655,1,VIIRS,85,2.0NRT,322.7,27.4,D
-6.9131,-54.2452,348.1,0.52,0.41,2026-06-05,1718,N,VIIRS,81,2.0NRT,332.9,84.3,D
-5.8378,-55.5527,335.7,0.47,0.37,2026-06-06,1733,N,VIIRS,84,2.0NRT,311.5,30.2,D
-7.4466,-55.8075,346.7,0.51,0.39,2026-06-05,1655,1,VIIRS,87,2.0NRT,323.4,52.1,D
-6.4045,-55.6901,336.6,0.49,0.44,2026-06-05,1655,N,VIIRS,87,2.0NRT,309.9,43.3,D
-7.1388,-55.484,337.2,0.5,0.45,2026-06-06,1722,1,VIIRS,93,2.0NRT,308.0,77.1,D
-7.6609,-54.9853,337.0,0.58,0.44,2026-06-06,1705,1,VIIRS,78,2.0NRT,307.3,12.0,D
-15.7007,-48.132,326.4,0.44,0.49,2026-06-06,1705,N,VIIRS,70,2.0NRT,299.2,85.7,D
-15.5871,-47.2033,336.8,0.57,0.44,2026-06-05,0402,1,VIIRS,86,2.0NRT,314.9,93.9,N
-15.5507,-47.4127,328.1,0.45,0.37,2026-06-05,0402,N,VIIRS,77,2.0NRT,312.6,81.1,N
-16.2233,-47.8197,327.7,0.48,0.39,2026-06-05,1655,1,VIIRS,74,2.0NRT,316.4,69.5,D
-14.7865,-47.509,336.2,0.51,0.46,2026-06-05,1655,1,VIIRS,82,2.0NRT,307.3,49.5,D
-15.5235,-47.1044,328.4,0.57,0.49,2026-06-05,0402,N,VIIRS,85,2.0NRT,311.7,10.5,N
-14.6861,-47.8318,333.5,0.45,0.41,2026-06-05,1718,N,VIIRS,70,2.0NRT,314.9,15.3,D
-14.5976,-48.3435,330.7,0.53,0.47,2026-06-06,0418,N,VIIRS,72,2.0NRT,305.7,48.9,N
-14.6008,-47.3915,327.2,0.51,0.39,2026-06-05,0402,N,VIIRS,70,2.0NRT,312.4,62.1,N
-13.3973,-55.0594,330.7,0.59,0.44,2026-06-05,1718,N,VIIRS,67,2.0NRT,317.4,75.7,D
-11.5405,-55.9993,324.2,0.56,0.44,2026-06-06,0418,N,VIIRS,82,2.0NRT,301.7,68.1,N
-12.2459,-56.7345,321.2,0.54,0.42,2026-06-05,0402,1,VIIRS,77,2.0NRT,309.1,79.5,N
-13.1518,-54.5829,333.9,0.57,0.37,2026-06-05,1655,N,VIIRS,81,2.0NRT,314.6,75.4,D
-12.6847,-56.3147,330.8,0.44,0.47,2026-06-05,1718,1,VIIRS,76,2.0NRT,310.9,37.3,D
-13.7756,-56.237,336.2,0.49,0.36,2026-06-06,1705,1,VIIRS,66,2.0NRT,318.1,29.0,D
-12.9144,-55.3065,329.9,0.45,0.4,2026-06-05,1655,1,VIIRS,75,2.0NRT,305.0,45.0,D
-17.7805,-56.4426,316.8,0.46,0.41,2026-06-02,1710,N,VIIRS,56,2.0NRT,301.3,72.3,D
-18.9128,-57.2272,318.4,0.49,0.42,2026-06-02,1710,1,VIIRS,54,2.0NRT,293.3,63.5,D
-17.6846,-56.5356,320.0,0.42,0.39,2026-06-02,1710,1,VIIRS,52,2.0NRT,296.3,58.2,D
-17.7589,-56.3105,319.7,0.52,0.46,2026-06-02,0405,N,VIIRS,64,2.0NRT,297.9,33.9,N
-10.0779,-41.0844,318.2,0.49,0.44,2026-06-02,1710,1,VIIRS,49,2.0NRT,297.2,28.9,D
-9.5919,-40.094,318.6,0.51,0.45,2026-06-02,0405,N,VIIRS,52,2.0NRT,296.1,76.5,N
